impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K18-106612,A551859,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1831320,LOST,Chester,Dog,,Male,Border Collie,Unknown,02/12/2018 12:00:00 AM,Date Lost,96TH E,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1831320,Image Copyright HLP Inc. 2018,"96TH E
",
K17-096407,A519032,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1664704,LOST,,Dog,,Male,Beagle,Unknown,01/21/2017 12:00:00 AM,Date Lost,11000 ROSEBERG AVE S,BURIEN,WA,98168,BURIEN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1664704,Image Copyright HLP Inc. 2018,"11000 ROSEBERG AVE S
BURIEN, WA 98168
",
K17-105693,A549183,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1810703,LOST,Lala,Dog,,Female,Pomeranian,Red,12/22/2017 12:00:00 AM,Date Lost,16400 MILITARY RD S,SEATAC,WA,98188,SEATAC,47.454778,-122.281388,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1810703,Image Copyright HLP Inc. 2018,"16400 MILITARY RD S
SEATAC, WA 98188
(47.454778, -122.281388)",
K18-106918,A552988,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1837560,LOST,Rico,Dog,,Male,Chihuahua - Smooth Coated,Unknown,03/01/2018 12:00:00 AM,Date Lost,OFF ALDER LANE AND CENTRAL AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1837560,Image Copyright HLP Inc. 2018,"OFF ALDER LANE AND CENTRAL AVE
",
K18-106723,A552089,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1833054,LOST,Keekee,Cat,,Male,Domestic Shorthair,Unknown,02/14/2018 12:00:00 AM,Date Lost,I90-438TH IN NORTH BEND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1833054,Image Copyright HLP Inc. 2018,"I90-438TH IN NORTH BEND
",
K18-106740,A552104,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1833636,LOST,Baloui,Dog,,Male,Chihuahua - Long Haired,Unknown,02/19/2018 12:00:00 AM,Date Lost,16600 34TH AVE S,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1833636,Image Copyright HLP Inc. 2018,"16600 34TH AVE S
SEATAC, WA 98188
",
K18-106197,A550697,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1822848,LOST,Tosca,Dog,,Female,Pembroke Welsh Corgi,Unknown,01/21/2018 12:00:00 AM,Date Lost,17503 25TH AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1822848,Image Copyright HLP Inc. 2018,"17503 25TH AVE NE
",
K18-106826,A552348,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1835048,LOST,Wiley,Dog,,Male,Pomeranian,Unknown,02/21/2018 12:00:00 AM,Date Lost,25200 238TH AVE SE,MAPLE VALLEY,WA,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1835048,Image Copyright HLP Inc. 2018,"25200 238TH AVE SE
MAPLE VALLEY, WA 98038
",
K18-106468,A551502,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1829049,LOST,Rico,Dog,,Male,Pomeranian,Unknown,01/27/2018 12:00:00 AM,Date Lost,11808 93RD LANE NE #8-102,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1829049,Image Copyright HLP Inc. 2018,"11808 93RD LANE NE #8-102
",
K18-106725,A552090,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1833061,In Public Home,,Rabbit,,,Rabbit,Brown / White,01/27/2018 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1833061,Image Copyright HLP Inc. 2018,,
